average_error,min_error,max_error,time
0.000994511613397533,3.490523425853098e-10,0.004659269830224133,0.0871694459929131
0.004491797304207715,3.2582789799562306e-09,0.021960989499152817,0.0839907790068537
0.0275051234912031,2.545326935887715e-07,0.5578971310882377,0.07507769000949338
0.02872476520693339,5.7348199078433026e-08,0.7778176571547988,0.07855368097079918
0.00038069699501996034,2.0879298290310544e-11,0.004530586501738654,0.0876998279709369
0.003223000752152211,6.870298463468316e-08,0.16994860748455665,0.07761667500017211
0.0018446202654212036,7.388223366433522e-10,0.009001136389548137,0.08722290396690369
0.02925022867555501,4.897458438790636e-09,1.3769023924716723,0.08937854802934453
0.0004186533997957084,7.384137745702901e-10,0.0032147689755710473,0.08641982299741358
0.06358110513633793,4.0959413638574915e-10,0.5371388987239492,0.07681040000170469
0.0018251010358437114,5.776506384336244e-09,0.02699687584358834,0.06767854001373053
0.05107219938825212,7.727654782740956e-08,1.0007734779563613,0.08265512197976932
0.002046211948596927,9.398348765898845e-10,0.029527739588537827,0.09652186202583835
0.01976213544081818,6.683804087970202e-08,1.014110143795543,0.0915748939733021
0.017730522802944137,5.252498525010196e-08,0.18878766820859383,0.0706003190134652
0.00036237383105205967,7.035403370991844e-10,0.0017430601560004533,0.0885539060109295
0.01981093674703839,5.0162682896370825e-09,0.4198815429996223,0.08277288998942822
0.022197715272962028,1.709370422986467e-10,0.17820421947940623,0.2056084939977154
0.003883008325793727,1.144043082490498e-09,0.024763217204093024,0.0891770229791291
0.00018503628915034974,1.9368471271263843e-09,0.0027862425512488187,0.08997080696281046
0.0002529408279141589,9.302212333750504e-10,0.0012590965282957,0.09220900299260393
0.0062177324305525885,8.189946498760037e-10,0.23020977094409467,0.08551655797054991
0.04021276657748254,7.767787053580832e-07,1.4644766252176158,0.08974859502632171
0.0011325007777814495,1.0375700298936863e-10,0.008502648381581324,0.08823158702580258
0.022609930450242118,8.848386876536551e-07,0.8518634874961126,0.07888048404129222
0.007895927074053179,1.4518768409743643e-09,0.07780582016404303,0.06916618504328653
0.007396884983581956,9.004930134892675e-08,1.1882553364965887,0.08047247596550733
0.00037965931852928234,7.782237076980891e-10,0.003020272542407554,0.09882395301247016
0.0015979227910722122,2.6067421998732243e-08,0.025412120406802075,0.10787546396022663
0.00013040540495647262,1.0934879668411668e-09,0.0018813340339978168,0.09190035902429372
0.00010832591407668804,1.6910082223375866e-09,0.0014902800913692005,0.09277667198330164
0.00012364694448634521,2.8858639922191287e-09,0.0017535453503469967,0.09792024397756904
0.00041206708495001334,4.793889729626244e-10,0.0027255340505938364,0.09496692899847403
0.0003997470901675404,6.939693264484958e-11,0.002436014644775497,0.08803936594631523
0.061089490593451465,5.383998562535908e-07,2.920871936036608,0.08050995698431507
0.0006394324839716446,2.1258230731291405e-09,0.001856436734307465,0.07766863098368049
0.00014498661676886176,7.344240771089972e-10,0.0006183768448053684,0.08288940496277064
0.0014961637771577323,2.5050059804243574e-09,0.01129907421784182,0.06738326296908781
0.009048652740972293,5.097852806557057e-09,0.6987224385778781,0.07608875498408452
0.0006260111846345947,7.254588041405441e-10,0.003197865012039003,0.08918518997961655
