groundtruth, prepare, model, total
0.1004463960416615, 0.39139889797661453, 0.9919977580429986, 1.6867010593414307
0.10423197806812823, 0.19675968401134014, 0.008206150028854609, 0.3851044178009033
0.18662884703371674, 0.2797361700795591, 0.008061658008955419, 0.4639434814453125
0.09581257903482765, 0.1881301540415734, 0.008922212990000844, 0.39151835441589355
0.0907754220534116, 0.20027120993472636, 0.008905351045541465, 0.38457751274108887
0.09172053402289748, 0.1828413059702143, 0.009051578002981842, 0.43780946731567383
0.09607773693278432, 0.18787470704410225, 0.008890875964425504, 0.3688671588897705
0.09467392507940531, 0.18615483806934208, 0.00892564409878105, 0.36844635009765625
0.11074412695597857, 0.20226455200463533, 0.008883983013220131, 0.3862276077270508
0.09206821699626744, 0.1827518610516563, 0.008897593012079597, 0.37363219261169434
0.14575447398237884, 0.23698601208161563, 0.008897533058188856, 0.49399304389953613
0.09756830905098468, 0.19737672596238554, 0.00888229301199317, 0.38297462463378906
0.09639351593796164, 0.18651632394175977, 0.008894390077330172, 0.3668389320373535
0.12978597008623183, 0.2210477109765634, 0.008897571009583771, 0.40271615982055664
0.09376838803291321, 0.19992795202415437, 0.00889041495975107, 0.38535642623901367
0.10484427702613175, 0.19592799397651106, 0.008893523016013205, 0.37133049964904785
0.1417363549116999, 0.23257663997355849, 0.008901095017790794, 0.49132633209228516
0.09891775110736489, 0.1915949119720608, 0.008898480096831918, 0.3729887008666992
0.1342993970029056, 0.22479821601882577, 0.008896237006410956, 0.4049417972564697
0.09584122395608574, 0.18806313001550734, 0.008886494091711938, 0.3669116497039795
0.09950723499059677, 0.19097421795595437, 0.008893166086636484, 0.37246203422546387
0.09498499101027846, 0.18628651392646134, 0.00886524107772857, 0.37415528297424316
0.09796683106105775, 0.18865309690590948, 0.008927164948545396, 0.449049711227417
0.10653448291122913, 0.19779593404382467, 0.00886880001053214, 0.3797004222869873
0.09523110801819712, 0.18669978203251958, 0.008905965951271355, 0.3674037456512451
0.09818417299538851, 0.18997119599953294, 0.008905385038815439, 0.3749868869781494
0.09503361594397575, 0.18671798997092992, 0.008895265986211598, 0.3938310146331787
0.1218695780262351, 0.22192300204187632, 0.008977067074738443, 0.40383148193359375
0.09505571401678026, 0.18738354602828622, 0.008949126000516117, 0.4392719268798828
0.10305690206587315, 0.19401942298281938, 0.008856825064867735, 0.3688223361968994
0.09542795398738235, 0.18771629803813994, 0.008890024037100375, 0.36986684799194336
0.09879504598211497, 0.1913832570426166, 0.008913210011087358, 0.3738083839416504
0.09754584706388414, 0.18896259006578475, 0.008896498940885067, 0.3724985122680664
0.09567515004891902, 0.18642210704274476, 0.008904992952011526, 0.3802785873413086
0.09541067504324019, 0.1844813679344952, 0.008914325968362391, 0.4439888000488281
0.13254852697718889, 0.22373082407284528, 0.00887805293314159, 0.4055020809173584
0.09616711107082665, 0.18736916093621403, 0.008924791938625276, 0.3689596652984619
0.09562524897046387, 0.18773646594490856, 0.008913266006857157, 0.36975932121276855
0.11985602404456586, 0.2113728190306574, 0.008916146005503833, 0.3931694030761719
0.09476567397359759, 0.1865582709433511, 0.008868396980687976, 0.3677082061767578
0.11466520803514868, 0.20557582995388657, 0.00892496993765235, 0.4556112289428711
0.12724506703671068, 0.21827537403441966, 0.008874221006408334, 0.40129876136779785
0.09807912004180253, 0.18928434292320162, 0.008913922938518226, 0.37102746963500977
0.10174520302098244, 0.1933386999880895, 0.008899559965357184, 0.3901488780975342
0.09547415503766388, 0.20025963499210775, 0.008953265030868351, 0.38047075271606445
0.1148753579473123, 0.2167996729258448, 0.008940906031057239, 0.3803420066833496
0.09626333904452622, 0.19922735600266606, 0.0089323470601812, 0.4588279724121094
0.11296744295395911, 0.20283188903704286, 0.008872717968188226, 0.38262104988098145
0.12355041899718344, 0.21450321795418859, 0.008904556976631284, 0.3953876495361328
0.10424115706700832, 0.20729324000421911, 0.00890569610055536, 0.3906741142272949
0.11514878203161061, 0.20697565597947687, 0.008912279037758708, 0.3886289596557617
0.09498958801850677, 0.18541382905095816, 0.008935049059800804, 0.36609792709350586
0.09546666801907122, 0.18807476700749248, 0.008927654009312391, 0.447157621383667
0.09742761205416173, 0.18789677193854004, 0.008895846083760262, 0.37103748321533203
0.09699949796777219, 0.190263049909845, 0.008904785034246743, 0.3724033832550049
0.09540625289082527, 0.1864389890106395, 0.00892059807665646, 0.36879396438598633
0.10588995402213186, 0.19767399597913027, 0.008902592002414167, 0.3867814540863037
0.12017517501953989, 0.2339259919244796, 0.008936582948081195, 0.41493916511535645
0.13958481792360544, 0.24069283297285438, 0.00890592799987644, 0.5012290477752686
0.10066753102000803, 0.20224495592992753, 0.008866330026648939, 0.3836054801940918
0.09539762907661498, 0.18700471695046872, 0.008912315010093153, 0.3669612407684326
0.14124769798945636, 0.2323436620645225, 0.008908379008062184, 0.41272974014282227
